Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
772.0,3.827282065774675,30.756696114778897,86.0546875,196.25,62.25
780.0,3.18147615407482,29.848104605578314,94.39208984375,196.25,62.25
788.0,2.6154372433450184,30.37900627613091,94.0625,196.25,62.25
793.0,2.2120002961310945,31.53455696019889,89.82666015625,196.25,62.25
800.0,1.6382914814618648,34.275611003498746,81.4892578125,196.25,62.25
805.0,1.2302525918842842,36.75796140710824,76.09375,196.25,62.25
812.0,0.6611457195787114,39.990477995179674,70.27099609375,196.25,62.25
817.0,0.25924275315267337,41.36113331776549,67.40234375,196.25,62.25
824.0,5.982525072754001,41.270886843107604,65.33935546875,196.25,62.25
829.0,5.580622106327962,39.79377976607945,65.53466796875,196.25,62.25
837.0,5.017651157173932,36.53761495793183,68.525390625,196.25,62.25
842.0,4.608078286808466,34.066504437956574,73.0908203125,196.25,62.25
849.0,4.038971414502893,31.417874776748807,82.45361328125,196.25,62.25
854.0,3.6309325249253126,30.30638498115267,89.28955078125,196.25,62.25
861.0,3.066427594983397,29.85586562564992,95.2587890625,196.25,62.25
866.0,2.6583887054058164,30.294807061158387,94.48974609375,196.25,62.25
874.0,2.090815813888129,32.011151712329024,87.763671875,196.25,62.25
879.0,1.6827769243105484,34.02340465520091,81.72119140625,196.25,62.25
886.0,1.1106020904292042,37.50022336803094,74.76318359375,196.25,62.25
891.0,0.7040971816395093,39.78632937303366,70.6494140625,196.25,62.25
898.0,0.13959225169759334,41.548713843860085,66.68212890625,196.25,62.25
903.0,6.019340611663256,41.3517377403673,65.2294921875,196.25,62.25
910.0,5.462505585660768,39.188500502729426,65.94970703125,196.25,62.25
916.0,5.056000676871073,36.77710994728844,68.427734375,196.25,62.25
923.0,4.4884277853533865,33.41398734925172,75.21484375,196.25,62.25
928.0,4.07885491498792,31.562961493142154,82.16064453125,196.25,62.25
935.0,3.514349985046004,30.111915250600887,90.80322265625,196.25,62.25
940.0,3.109379057044195,29.8470474784449,94.95361328125,196.25,62.25
947.0,2.5418061655265074,30.540548610689296,93.48876953125,196.25,62.25
952.0,2.133767275948927,31.835470719480654,88.45947265625,196.25,62.25
960.0,1.5631264228554684,34.71311172445415,80.1220703125,196.25,62.25
965.0,1.1550875332778878,37.22569138622431,74.921875,196.25,62.25
972.0,0.5859806609723149,40.32415213565607,69.501953125,196.25,62.25
977.0,0.18407769454627695,41.49185016596614,67.07275390625,196.25,62.25
984.0,5.9088939949354895,41.07946596795138,65.302734375,196.25,62.25
989.0,5.506991028509452,39.423655647166726,65.7177734375,196.0,62.25
996.0,4.944020079355422,36.078190592519185,69.31884765625,196.0,62.25
1002.0,4.535981189777841,33.66808431842388,74.34814453125,196.0,62.25
1009.0,3.9622723751086113,31.157127965755834,84.00390625,196.0,62.25
1014.0,3.5557674663189163,30.174853652734136,90.58349609375,196.0,62.25
1021.0,2.988194574801229,29.8900807860915,95.51513671875,196.0,62.25
1026.0,2.5816896660115343,30.450340836921068,93.96484375,196.0,62.25
1033.0,2.017184736069618,32.3293004308676,86.93359375,196.0,62.25
1037.0,1.6873788666742053,33.997623860412055,81.85546875,196.0,62.25
1042.0,1.2762720155208536,36.470536587406585,76.71630859375,196.0,62.25
1050.0,0.7117670855789375,39.74890500993728,70.78369140625,196.0,62.25
1055.0,0.3083301383650139,41.252780829565104,67.7197265625,196.0,62.25
1062.0,6.027010515602684,41.36730866833135,65.26611328125,196.25,62.25
1067.0,5.629709491540304,40.02593454280165,65.33935546875,196.25,62.25
1074.0,5.063670580810502,36.824967512465584,68.3056640625,196.25,62.25
1079.0,4.658699652808692,34.35494224241979,72.7734375,196.25,62.25
1087.0,4.08959278050312,31.603129636209875,81.3916015625,196.25,62.25
1091.0,3.7643888534713636,30.595511774242834,87.36083984375,196.25,62.25
1095.0,3.433049003288065,30.007915724612158,91.92626953125,196.25,62.25
1099.0,3.113980999407852,29.846521179417888,94.84375,196.25,62.25
1103.0,2.788777072376096,30.084014667906423,95.19775390625,196.25,62.25
1107.0,2.46357314534434,30.73617870294957,92.53662109375,196.25,62.25
1111.0,2.1399031991004693,31.81097640071077,88.5205078125,196.25,62.25
1116.0,1.7333982903107745,33.743183075251785,82.5146484375,196.25,62.25
1123.0,1.1566215140657734,37.21618679882519,75.05615234375,196.25,62.25
1132.0,0.5108156023659185,40.625174471823634,69.1845703125,196.25,62.25
1136.0,0.18867963690993386,41.48509093473031,67.1826171875,196.25,62.25
1144.0,5.8306609747533225,40.834336220966655,65.0830078125,196.25,62.25
1152.0,5.1894570054171245,37.60370267635613,67.20703125,196.25,62.25
1160.0,4.542117112929383,33.70138943803291,74.25048828125,196.25,62.25
1168.0,3.885573335714329,30.92046871911778,84.91943359375,196.25,62.25
1177.0,3.2382334432265885,29.862922195804007,94.0869140625,196.25,62.25
1185.0,2.5954954931025047,30.420606296501898,94.02587890625,196.25,62.25
1193.0,1.9420196774632217,32.67566566033507,85.60302734375,196.25,62.25
1201.0,1.2900778426118242,36.38430990913464,76.78955078125,196.25,62.25
1209.0,0.6335340653967698,40.11665604653938,69.95361328125,196.25,62.25
1218.0,6.2801173456038155,41.62599878863544,66.07177734375,196.25,62.25
1225.0,5.71868037723767,40.41361911144232,65.24169921875,196.25,62.25
1230.0,5.315243430023747,38.358733890507004,66.5234375,196.25,62.25
1238.0,4.667903537536006,34.40809637007577,72.67578125,196.25,62.25
1246.0,4.01902966426038,31.347765430717402,82.94189453125,196.25,62.25
1254.0,3.3701557909847537,29.945104854242935,92.73193359375,196.25,62.25
1262.0,2.801048918679181,30.067619125385633,95.31982421875,196.25,62.25
